" CTRB1"
" EPHX2"
" EFCAB14"
" CTRB2"
" ETFDH"
" ELMO1"
" CTRC"
" F10"
" ELOVL4"
" CTRL"
" FADS2"
" ENPP4"
" CUZD1"
" FAM110B"
" ENTPD3"
" CXCL17"
" FAM178A"
" ERO1LB"
" DPEP1"
" FAM46A"
" FAM222A"
" DUOX2"
" FAM84A"
" FAM76A"
" DUOXA2"
" FAP"
" FFAR1"
" ECE2"
" FGF12"
" G6PC2"
" EFHD2"
" FSTL5"
" GCC1"
" ERP27"
" FXYD5"
" GNAS"
" FAM129A"
" GADD45G"
" GPM6A"
" FGL1"
" GC"
" GPSM1"
" GALNT7"
" GCG"
" GREM1"
" GNL3"
" GLS"
" GUSB"
" GP2"
" GPR119"
" GYG1"
" GPT2"
" GRIA3"
" HSPD1"
" GSTA1"
" HIGD1A"
" IAPP"
" GSTA2"
" HMGB2"
" IGF2"
" HAMP"
" INS"
" IL32"
" HNRNPA3"
" KLHDC8A"
" KCTD14"
" HPS1"
" LGMN"
" KLK1"
" HSD17B14"
" LRRTM3"
" LGALS2"
" HTR1F"
" MAFA"
" LYZ"
" MRAP2"
" MAT1A"
" ITPK1"
" MTSS1"
" MGST1"
" KCNMA1"
" MXRA7"
" MUC1"
" KL"
" NECAB1"
" NFKBIA"
" KLHL41"
" NKX6-1"
" NUPR1"
" KPNA6"
" NMRK1"
" PDIA2"
" PLA2G1B"
" MBOAT2"
" NTPCR"
" PLTP"
" MCOLN3"
" OXLD1"
" PNLIP"
" MLLT11"
" PCSK1"
" PNLIPRP1"
" MRC1"
" PNLIPRP2"
" MRC1L1"
" PIGV"
" PPIF"
" MYBPHL"
" PIK3IP1"
" PRSS1"
" NAA20"
" RAPH1"
" PRSS2"
" NHP2L1"
" RASA4"
" PRSS3"
" OGT"
" RASA4B"
" PRSS3P2"
" PALLD"
" RASGRF1"
" PSAT1"
" PDE4DIP"
" RBP4"
" PTGR1"
" PDZK1"
" RGS16"
" RARRES2"
" PLA2G16"
" RNF130"
" REG1A"
" ROBO2"
" REG1B"
" PLOD2"
" RRAGB"
" REG3A"
" PMM1"
" RRNAD1"
" REG3G"
" PNISR"
" SALL2"
" RNASE1"
" POPDC3"
" SCD5"
" RP11-520H11.1"
" PRKCE"
" SEMA5A"
" RP6-149D17.1"
" PTPN2"
" SFTPA1"
" SDC4"
" RAB3C"
" SGCB"
" SERPINA4"
" RSAD2"
" SGK3"
" SERPINI2"
" SETD2"
" SIAH1"
" SGK1"
" SGCZ"
" SLC25A34"
" SLC25A37"
" SLC38A4"
" SLC30A8"
" SLC38A5"
" SORT1"
" SLC43A2"
" SLC39A5"
" SPATC1L"
" SOCS2"
" SLC43A1"
" SPOCK3"
" SORL1"
" SOD2"
" SRBD1"
" SRD5A1"
" SPINK1"
" SREK1"
" SUSD4"
" SYCN"
" STARD3"
" TIFA"
" TBC1D30"
" TBCC"
" TMEM97"
" TMCO3"
" TDRP"
" TMPRSS2"
" TMEM236"
" TERF2IP"
" TPD52L1"
" TTC39A"
" TMEM37"
" TPST2"
" TTR"
" TSPAN1"
" TRIB2"
" UBQLN1"
" VAT1L"
" U66061.39"
" UQCC1"
" WNT4"
" UGDH"
" VGF"
" WSCD2"
" YBX3"
" WDR37"
" ZNF441"
" ZDHHC9"
" YIPF2"
" ZNF776"
